Содержание;Все население;;;Городское население;;;Сельское население;;
;"мужчины
и женщины";мужчины;женщины;"мужчины
и женщины";мужчины;женщины;"мужчины
и женщины";мужчины;женщины
;;;;;;;;;
Российская Федерация;146980061;68378429;78601632;109982329;50494451;59487878;36997732;17883978;19113754
Центральный федеральный округ;40298032;18678072;21619960;33097200;15221092;17876108;7200832;3456980;3743852
Белгородская область;1536466;712397;824069;1003348;455190;548158;533118;257207;275911
Брянская область;1164635;533625;631010;809640;363213;446427;354995;170412;184583
Владимирская область;1342235;609524;732711;1041666;466521;575145;300569;143003;157566
Воронежская область;2302617;1064328;1238289;1577500;721287;856213;725117;343041;382076
Ивановская область;924114;414279;509835;757352;333816;423536;166762;80463;86299
Калужская область;1073252;509427;563825;805318;377917;427401;267934;131510;136424
Костромская область;577996;262672;315324;426546;190698;235848;151450;71974;79476
Курская область;1078156;489402;588754;738194;327698;410496;339962;161704;178258
Липецкая область;1138140;521508;616632;717549;321252;396297;420591;200256;220335
Московская область;8542257;4063129;4479128;6703233;3167465;3535768;1839024;895664;943360
Орловская область;710023;322887;387136;473315;211446;261869;236708;111441;125267
Рязанская область;1098579;497369;601210;783997;347925;436072;314582;149444;165138
Смоленская область;886900;402440;484460;644269;285693;358576;242631;116747;125884
Тамбовская область;979171;451735;527436;589647;265509;324138;389524;186226;203298
Тверская область;1226038;558561;667477;936005;417750;518255;290033;140811;149222
Тульская область;1496690;676671;820019;1097096;487727;609369;399594;188944;210650
Ярославская область;1205637;541571;664066;977399;433438;543961;228238;108133;120105
г. Москва;13015126;6046547;6968579;13015126;6046547;6968579;–;–;–
Северо-Западный федеральный округ;13909835;6378431;7531404;11817707;5364308;6453399;2092128;1014123;1078005
Республика Карелия;532384;238824;293560;422819;186861;235958;109565;51963;57602
Республика Коми;734363;339964;394399;569453;260508;308945;164910;79456;85454
Архангельская область;1016030;470354;545676;787049;359422;427627;228981;110932;118049
Ненецкий автономный округ;41426;19945;21481;30738;14510;16228;10688;5435;5253
Архангельская область без автономии;974604;450409;524195;756311;344912;411399;218293;105497;112796
Вологодская область;1138424;522210;616214;824981;369359;455622;313443;152851;160592
Калининградская область;1030979;487967;543012;791360;370716;420644;239619;117251;122368
Ленинградская область;2006022;943187;1062835;1346919;624223;722696;659103;318964;340139
Мурманская область;665240;313983;351257;619210;289062;330148;46030;24921;21109
Новгородская область;581578;261063;320515;424783;186511;238272;156795;74552;82243
Псковская область;596899;271322;325577;423217;188089;235128;173682;83233;90449
 г. Санкт-Петербург;5607916;2529557;3078359;5607916;2529557;3078359;–;–;–
Южный федеральный округ;16718204;7838694;8879510;10565338;4893706;5671632;6152866;2944988;3207878
Республика Адыгея;498285;233517;264768;246435;112785;133650;251850;120732;131118
Республика Калмыкия;266432;128434;137998;124645;56734;67911;141787;71700;70087
Республика Крым;1931091;894762;1036329;974231;443428;530803;956860;451334;505526
Краснодарский край;5832042;2749485;3082557;3322319;1556645;1765674;2509723;1192840;1316883
Астраханская область;957772;449662;508110;615758;284004;331754;342014;165658;176356
Волгоградская область;2492808;1167543;1325265;1931231;893090;1038141;561577;274453;287124
Ростовская область;4192322;1954601;2237721;2845433;1307033;1538400;1346889;647568;699321
г. Севастополь;547452;260690;286762;505286;239987;265299;42166;20703;21463
Северо-Кавказский федеральный округ;10174103;4925067;5249036;5154557;2464189;2690368;5019546;2460878;2558668
Республика Дагестан;3186902;1572559;1614343;1441262;711196;730066;1745640;861363;884277
Республика Ингушетия;511316;254445;256871;280291;139712;140579;231025;114733;116292
Кабардино-Балкарская Республика;904338;429493;474845;469445;217057;252388;434893;212436;222457
Карачаево-Черкесская Республика;469096;220961;248135;193916;88208;105708;275180;132753;142427
Республика Северная Осетия – Алания;685393;319827;365566;433232;197724;235508;252161;122103;130058
Чеченская Республика;1514603;759169;755434;577781;291564;286217;936822;467605;469217
Ставропольский край;2902455;1368613;1533842;1758630;818728;939902;1143825;549885;593940
Приволжский федеральный округ;28869534;13349381;15520153;20842469;9455804;11386665;8027065;3893577;4133488
Республика Башкортостан;4091621;1934940;2156681;2539327;1176332;1362995;1552294;758608;793686
Республика Марий Эл;676351;315087;361264;463382;210145;253237;212969;104942;108027
Республика Мордовия;781440;362586;418854;495722;223766;271956;285718;138820;146898
Республика Татарстан;4000084;1868294;2131790;3070915;1413083;1657832;929169;455211;473958
Удмуртская Республика;1448946;663772;785174;952171;424526;527645;496775;239246;257529
Чувашская Республика;1183908;548713;635195;758062;336956;421106;425846;211757;214089
Пермский край;2525149;1156657;1368492;1910757;859148;1051609;614392;297509;316883
Кировская область;1149176;525107;624069;895654;403709;491945;253522;121398;132124
Нижегородская область;3108918;1408266;1700652;2485263;1108979;1376284;623655;299287;324368
Оренбургская область;1855781;861284;994497;1108730;501823;606907;747051;359461;387590
Пензенская область;1261103;575307;685796;866992;387662;479330;394111;187645;206466
Самарская область;3164384;1452973;1711411;2518567;1141242;1377325;645817;311731;334086
Саратовская область;2431012;1128282;1302730;1862221;852298;1009923;568791;275984;292807
Ульяновская область;1191661;548113;643548;914706;416135;498571;276955;131978;144977
Уральский федеральный округ;12285258;5710997;6574261;10073355;4645761;5427594;2211903;1065236;1146667
Курганская область;772332;351758;420574;494232;219448;274784;278100;132310;145790
Свердловская область;4263691;1974676;2289015;3658528;1684610;1973918;605163;290066;315097
Тюменская область;3827679;1816225;2011454;3093855;1457074;1636781;733824;359151;374673
Ханты-Мансийский авт. округ – Югра;1713763;826582;887181;1577963;757670;820293;135800;68912;66888
Ямало-Ненецкий автономный округ;511244;249206;262038;432942;210667;222275;78302;38539;39763
Тюменская область без автономий;1602672;740437;862235;1082950;488737;594213;519722;251700;268022
Челябинская область;3421556;1568338;1853218;2826740;1284629;1542111;594816;283709;311107
Сибирский федеральный округ;16758520;7722766;9035754;12564916;5704160;6860756;4193604;2018606;2174998
Республика Алтай;210808;99465;111343;65363;29400;35963;145445;70065;75380
Республика Тыва;336251;158961;177290;184314;84953;99361;151937;74008;77929
Республика Хакасия;532988;245046;287942;365015;164431;200584;167973;80615;87358
Алтайский край;2154932;985906;1169026;1254959;561897;693062;899973;424009;475964
Красноярский край;2856326;1328198;1528128;2268468;1043692;1224776;587858;284506;303352
Иркутская область;2363447;1086116;1277331;1834514;827373;1007141;528933;258743;270190
Кемеровская область – Кузбасс;2592013;1186167;1405846;2242798;1015961;1226837;349215;170206;179009
Новосибирская область;2797492;1281351;1516141;2229106;1007632;1221474;568386;273719;294667
Омская область;1851537;854140;997397;1361478;616814;744664;490059;237326;252733
Томская область;1062726;497416;565310;758901;352007;406894;303825;145409;158416
Дальневосточный федеральный округ;7966575;3775021;4191554;5866787;2745431;3121356;2099788;1029590;1070198
Республика Бурятия;977951;458813;519138;578562;264506;314056;399389;194307;205082
Республика Саха (Якутия);997833;482710;515123;668425;321712;346713;329408;160998;168410
Забайкальский край;1000520;472241;528279;692872;321615;371257;307648;150626;157022
Камчатский край;292574;142988;149586;228028;110953;117075;64546;32035;32511
Приморский край;1841961;863725;978236;1445385;670624;774761;396576;193101;203475
Хабаровский край;1292764;610097;682667;1078817;502610;576207;213947;107487;106460
Амурская область;763570;361556;402014;520498;242519;277979;243072;119037;124035
Магаданская область;135907;66125;69782;130987;63505;67482;4920;2620;2300
Сахалинская область;466009;222622;243387;384377;183055;201322;81632;39567;42065
Еврейская автономная область;149580;70237;79343;105877;47908;57969;43703;22329;21374
Чукотский автономный округ;47906;23907;23999;32959;16424;16535;14947;7483;7464
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
